Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 "," $32,370.00 "," $16,185.00 ","16,185.00",01-01-2014,1, January ,2014
Government,Germany, Carretera , None ,1321, $3.00 , $20.00 ," $26,420.00 "," $26,420.00 "," $13,210.00 ","13,210.00",01-01-2014,1, January ,2014
Midmarket,France, Carretera , None ,2178, $3.00 , $15.00 ," $32,670.00 "," $32,670.00 "," $21,780.00 ","10,890.00",01-06-2014,6, June ,2014
Midmarket,Germany, Carretera , None ,888, $3.00 , $15.00 ," $13,320.00 "," $13,320.00 "," $8,880.00 ","4,440.00",01-06-2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,2470, $3.00 , $15.00 ," $37,050.00 "," $37,050.00 "," $24,700.00 ","12,350.00",01-06-2014,6, June ,2014
Government,Germany, Carretera , None ,1513, $3.00 , $350.00 ," $5,29,550.00 "," $5,29,550.00 "," $3,93,380.00 ","1,36,170.00",01-12-2014,12, December ,2014
Midmarket,Germany, Montana , None ,921, $5.00 , $15.00 ," $13,815.00 "," $13,815.00 "," $9,210.00 ","4,605.00",01-03-2014,3, March ,2014
Channel Partners,Canada, Montana , None ,2518, $5.00 , $12.00 ," $30,216.00 "," $30,216.00 "," $7,554.00 ","22,662.00",01-06-2014,6, June ,2014
Government,France, Montana , None ,1899, $5.00 , $20.00 ," $37,980.00 "," $37,980.00 "," $18,990.00 ","18,990.00",01-06-2014,6, June ,2014
Channel Partners,Germany, Montana , None ,1545, $5.00 , $12.00 ," $18,540.00 "," $18,540.00 "," $4,635.00 ","13,905.00",01-06-2014,6, June ,2014
Midmarket,Mexico, Montana , None ,2470, $5.00 , $15.00 ," $37,050.00 "," $37,050.00 "," $24,700.00 ","12,350.00",01-06-2014,6, June ,2014
Enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $3,33,187.50 "," $3,33,187.50 "," $3,19,860.00 ","1,33,275.00",01-07-2014,7, July ,2014
Small Business,Mexico, Montana , None ,958, $5.00 , $300.00 ," $2,87,400.00 "," $2,87,400.00 "," $2,39,500.00 ","47,900.00",01-08-2014,8, August ,2014
Government,Germany, Montana , None ,2146, $5.00 , $7.00 ," $15,022.00 "," $15,022.00 "," $10,730.00 ","4,292.00",01-09-2014,9, September ,2014
Enterprise,Canada, Montana , None ,345, $5.00 , $125.00 ," $43,125.00 "," $43,125.00 "," $41,400.00 ","1,725.00",01-10-2013,10, October ,2013
